origin,destination,trip_count,shortest_path,origin_osm_node
6779.04,6779.05,151.0,"[42428310, 42435687, 42435702, 42435705, 42435707, 42428315, 42428313]",42428310
6779.05,6779.04,118.0,"[42428313, 42428312, 42428310]",42428313
5105.09,5105.01,79.0,"[42422050, 42454795, 42454792, 11051616113, 42428376, 42422042, 42428374, 42428373, 42428371]",42422050
6839.1,6839.10,77.0,"[42427764, 42427762, 42445947, 42445950, 42445953, 8254176965, 4347534783, 4347534768, 3377461259, 4347534767]",42427764
5105.01,5105.09,65.0,"[42428371, 42428370, 42428368, 42428366, 42428365, 42436202, 4149936235, 42456884, 42446622, 42456888, 42434412, 42422038, 42422042, 10299850116, 42422046]",42428371
4513.06,4628.05,60.0,"[1258875489, 1258875373, 42494926]",1258875489
6876.04,6876.04,53.0,[42430394],42430394
7323.09,7323.09,47.0,[42454189],42454189
7100.07,7100.07,45.0,[42438788],42438788
6912.01,6912.01,44.0,[42423674],42423674
4440.02,4440.02,43.0,[5482786012],5482786012
5105.09,5065.12,43.0,"[42422046, 42422050, 42422053]",42422046
4590.01,4590.01,42.0,[10107930167],10107930167
6599.01,6599.01,42.0,[1241820975],1241820975
6912.01,6912.01,42.0,[42423674],42423674
7617.07,7617.07,40.0,[42433743],42433743
6876.04,7323.09,38.0,"[42430394, 4347534767, 5706568771, 8254176969, 42445950, 42445953, 42436511, 42445961, 42429971, 42431650, 42445972, 42445976, 42437425, 42431674, 42445994, 42429682, 42445227, 42436477, 42438791, 42439556, 42430052, 42446013, 42446016, 42436913, 42446021, 42438487, 42446026, 42439392, 42446031, 42435499, 42446036, 42429324, 42446041, 42454189]",42430394
6948.10,6948.10,38.0,[42428332],42428332
7636.05,7636.05,38.0,[5482291259],5482291259
3651.04,3651.04,37.0,[2357316901],2357316901
6779.05,6847.02,35.0,"[42428313, 10142214276, 42435705, 42435707, 42435710, 42431556, 42428328, 42431549, 42440020, 8993169377, 8993169376]",42428313
6912.01,7323.09,35.0,"[42423674, 42430394, 4347534767, 5706568771, 8254176969, 42445950, 42445953, 42436511, 42445961, 42429971, 42431650, 42445972, 42445976, 42437425, 42431674, 42445994, 42429682, 42445227, 42436477, 42438791, 42439556, 42430052, 42446013, 42446016, 42436913, 42446021, 42438487, 42446026, 42439392, 42446031, 42435499, 42446036, 42429324, 42446041, 42454189]",42423674
7079.06,7079.06,35.0,[7802856349],7802856349
6904.06,6904.06,34.0,[42429970],42429970
6747.07,6747.06,34.0,"[8704367789, 8704367788, 42428308, 42428307, 1758380528, 8704367786, 42432589, 42435684, 42435687, 5481883907, 5481882139, 42445025, 42440163, 5481883912]",8704367789
5703.13,5779.11,34.0,"[42446552, 42436944]",42446552
4993.13,4953.04,33.0,"[42421951, 42421965, 4156726384, 2350521070, 3239326412]",42421951
7141.07,7141.07,32.0,[42435272],42435272
6839.10,7323.09,29.0,"[4347534767, 5706568771, 8254176969, 42445950, 42445953, 42436511, 42445961, 42429971, 42431650, 42445972, 42445976, 42437425, 42431674, 42445994, 42429682, 42445227, 42436477, 42438791, 42439556, 42430052, 42446013, 42446016, 42436913, 42446021, 42438487, 42446026, 42439392, 42446031, 42435499, 42446036, 42429324, 42446041, 42454189]",4347534767
6140.05,6266.06,29.0,"[42430265, 42430269, 42430271, 42437890, 42435624, 42437909, 42434279]",42430265
5105.01,5105.09,28.0,"[42826957, 42826940, 42826933, 2459401771, 2796727177, 42826930, 42867023, 42807554, 7059887702, 7059887697, 42824080, 42867027, 42867029, 5487837572, 42815764, 42867035, 42867040, 42906419, 42889760, 42825879, 42825882, 42895308, 42895311, 42861200, 9971542829, 42808193, 42808195, 2355624814, 592643522, 11868048949, 593215662, 3785582164, 1775201764, 593300940, 42436527, 6176483595, 42424089, 42442961, 42432861, 42442960, 42442959, 42442957, 42436710, 42442955, 42440465, 42442952, 42438894, 42442949, 42442948, 42434090, 42442947, 42442943, 42442939, 42442937, 42432464, 42442935, 3833109159, 3833109164, 42442933, 42442931, 42442918, 9987259798, 42423020, 42434965, 5131026388, 42442913, 5696984871, 42442910, 42442906, 42442902, 42436754, 42442898, 42442895, 42429900, 42442891, 42436590, 4207683796, 42442889, 42440330, 1692450029, 42439178, 42442881, 42437287, 42442877, 42431464, 42440737, 42436942, 42442870, 42442862, 42430898, 42442857, 42434142, 42434201, 42442851, 42442850, 42442848, 42437333, 775996460, 42442843, 42442842, 42442838, 42442836, 1773082410, 42437612, 42457325, 42432308, 42435491, 42445511, 42457319, 42428447, 1919595915, 42428444, 42428441, 42428438, 42428436, 42428434, 42428433, 42428431, 5481883674, 42428428, 42428425, 42428420, 5706569905, 42428414, 42428411, 42428408, 42428405, 42428402, 272195271, 2821304136, 2821304137, 2821304138, 272195270, 8262936580, 42428391, 42428385, 42428379, 42428377, 42428376, 42422042, 10299850116, 42422046]",42826957
5065.12,5105.09,27.0,"[42429840, 42434420, 42422053, 42448583, 42454795, 42454792, 42422046]",42429840
7014.12,7014.12,26.0,"[7630577059, 1061531509, 42428575, 42421972]",7630577059
5730.08,5696.03,26.0,"[42436109, 42448568, 42448570, 246879394, 2562448041, 9609713330, 2562448026]",42436109
4590.01,4440.02,26.0,,10107930167
